"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","cls"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04100001,1.075,0.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,2,2,0.334,0,0,0,0,0,0,0,0,0,0,0,0.123,1.821,2,2,1.337,0,0,0,0,0,0,0,0,0,0,0,0.674,2,1.649,1.355,1.224,0,0,0,0,0,0,0,0.624,1.616,0.63,0,1.174,2,1.256,0.042,0.09200001,0,0,0.02499998,1.242,0.992,0.001999974,0,0.814,2,1.739,0.07200003,1.466,2,0.8,0,0,0,0,0.533,2,2,0.659,0,0.126,1.688,2,0.796,1.639,2,0.649,0,0,0,0,0.01099998,2,2,1.296,0,0,0.545,2,1.751,2,2,0.267,0,0,0,0,0,1.319,2,1.371,0.02200001,0,0.269,2,1.466,2,2,0.267,0,0,0,0,0,1.259,2,2,1.501,0.986,1.659,2,1.234,1.791,2,0.267,0,0,0,0,0.829,2,1.761,1.417,2,2,2,1.644,0.191,1.439,2,0.567,0,0,0.174,1.228,1.998,1.742,0.269,0.01099998,0.46,0.747,0.713,0.11,0,0.801,2,1.649,0.923,1.418,1.918,2,1.669,0.243,0,0,0,0,0,0,0,0.117,1.583,2,2,2,1.933,1.038,0.05500001,0,0,0,0,0,0,0,0,0,0.157,1.093,1.344,0.742,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,1.056,1.929,1.676,0.06800002,0,0,0,0,0,0,0,0,0,0.975,0.17,0.834,1.957,0.74,0.04799998,0,0,0,0.744,0.269,0,0,0,0,0,1.519,1.442,1.642,1.293,0,0,0,0,0,1.92,1.43,0,0,0,0,0,1.124,2,2,0.987,0,0,0,0,0,1.655,1.965,0.251,0,0,0,0,1.339,2,1.671,1.387,0,0,0,0,0,1.028,2,1.183,0,0,0,0.03500003,1.762,1.479,1.345,1.851,0.116,0,0,0,0,0.64,2,1.936,0.214,0,0,0.914,2,0.672,0.493,1.975,1.135,0,0,0,0,0.64,2,2,1.504,0.281,0.533,1.843,1.456,0.05299997,0,1.056,1.997,1.036,0.03399998,0,0,0.695,2,0.991,1.945,2,2,1.681,0.293,0,0,0.02100003,1.214,2,1.694,1.247,1.117,1.823,1.529,0.04500002,0.199,0.797,0.721,0.04500002,0,0,0,0,0.004000008,0.463,1.281,1.74,1.87,1.214,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0.306,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08499998,1.621,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024,1.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,1.894,0.688,0,0,0,0,0,0.95,1.416,0.06199998,0,0,0,0,0,0.675,2,0.331,0,0,0,0,0.201,1.911,2,0.609,0,0,0,0,0,0.943,1.976,0.176,0,0,0,0,0.823,2,2,0.787,0,0,0,1.08,0.896,1.388,1.79,0,0,0,0,0,0.842,2,2,0.565,0,0,0.199,1.998,1.549,1.579,1.79,0,0,0,0,0,1.019,2,1.86,0.06,0,0,0.211,2,1.579,1.811,1.79,0,0,0,0,0,0.684,2,1.651,0,0,0,0.211,2,1.579,2,1.79,0,0,0,0,0,0.154,2,1.368,0,0,0,0.211,2,1.857,2,1.79,0,0,0,0,0,0.271,2,1.835,0.432,0,0,0.31,2,1.535,1.715,1.88,0.169,0,0,0,0.04400003,1.454,1.734,1.976,1.916,0.731,0.104,1.233,1.564,0.112,1.107,2,1.334,0.02399999,0,0.353,1.662,1.729,0.136,1.064,1.993,2,1.985,1.844,0.278,0,0.474,1.99,2,1.641,1.156,1.89,1.688,0.269,0,0.004000008,1.155,1.435,0.947,0.238,0,0,0,1.006,1.975,2,1.864,1.014,0.151,0,0,0,0,0,0,0,0,0,0,0,0.372,0.856,0.104,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.834,0.796,0.371,0,0,0,0,0,0,0,0,0,0,0,0.152,1.752,2,2,1.972,0.81,0,0,0,0,0,0,0,0,0,0.04500002,1.381,2,0.792,0.498,0.951,1.757,0.448,0,0,0,0,0,0,0,0,0.895,2,1.161,0,0,0,0.06300002,0.327,0,0,0.08499998,0.195,0.02399999,0,0,0.08600003,1.89,1.869,0.14,0,0,0,0,0,0.02700001,0.162,0.801,1.995,1.796,0.771,0,0.72,2,1.341,0,0,0,0,0,0,1.108,1.863,0.203,1.021,1.799,1.987,0.893,1.322,2,0.739,0,0,0,0,0,0.124,1.793,2,0.631,0,0.145,1.866,2,1.813,2,0.358,0,0,0,0,0,0.995,2,2,1.554,0,0,1.339,2,2,1.817,0.05000001,0,0,0,0,0.103,1.861,1.973,1.908,2,0.853,0.08700001,1.854,1.877,2,1.796,0.03299999,0,0,0,0,1.373,2,1.114,0.759,1.999,1.981,1.546,2,1.25,1.633,2,0.664,0,0,0.144,1.077,1.999,1.642,0.04100001,0,1.032,1.936,2,1.639,0.145,0.856,2,1.923,1.308,1.298,1.725,2,1.746,0.216,0,0,0,0.24,0.712,0.143,0,0.005999982,0.913,1.981,2,2,1.978,1.352,0.15,0,0,0,0,0,0,0,0,0,0,0.41,0.816,0.91,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009999871,1.499,0.871,0,0,0,0,0,0,0,0,0,0,0,0.06099999,0.326,0.728,1.388,0,0,0,0,0,0,0,0,0.574,0.042,0,0,0.897,1.492,1.537,0.819,0,0,0,0,0,0,0,0.489,1.968,0.157,0,0,0.987,1.573,2,0.56,0,0,0,0,0,0,0,1.058,1.76,0,0,0,0.805,1.755,2,0.671,0,0,0,0,0,0,0.01700002,1.609,1.863,0.08399999,0,0,0.987,0.982,1.689,1.411,0.03399998,0,0,0,0,0.02899998,1.107,1.721,1.98,0.381,0,0,1.374,0.71,0.47,1.93,0.372,0,0,0.02100003,0.611,1.631,1.516,0.255,1.171,1.358,0.241,0.632,1.725,0.06699997,0,0.848,1.893,1.488,1.481,1.897,1.704,0.565,0,0,0.083,1.7,2,1.725,0.299,0,0,0.004000008,0.306,0.821,1.056,0.63,0,0,0,0,0,0.04400003,0.228,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.357,0.243,0,0,0,0,0.517,1.797,0.301,0,0,0,0,0,0.384,1.959,1.973,1.308,0,0,0,0,1.284,2,0.822,0,0,0,0.751,1.33,0.967,2,0.771,0.168,0,0,0,0,1.042,2,1.015,0,0,0,1.436,1.522,1.617,2,0.299,0,0,0,0,0,0.806,2,1.236,0,0,0,1.821,1.693,2,2,0.299,0,0,0,0,0,0.578,2,1.745,0.02899998,0,0,1.821,2,1.976,1.915,0.156,0,0,0,0,0,0.806,2,2,0.691,0,0,1.821,1.786,1.469,2,0.79,0,0,0,0,0.09799999,1.666,1.846,1.826,1.926,0.373,0.225,1.929,1.409,0.643,2,1.886,0.721,0.02100003,0.004999995,0.375,1.317,1.985,0.685,0.769,2,1.812,1.503,2,0.572,0.02499998,1.307,2,2,1.729,1.616,2,1.995,0.897,0,0.0009999871,0.822,1.973,2,1.356,0.02100003,0,0.02899998,0.72,1.577,1.878,1.737,1.332,0.525,0,0,0,0,0.375,0.535,0.01099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,0.938,1.663,0.719,0,0,0,0,0,0,0,0,0,0,0,0,1.685,1.89,1.041,0.165,0,0,0,0,0,0,0,0.788,0.603,0,0,0.274,1.989,0.853,0,0,0,0,0,0,0.826,1.163,0.01599997,1.779,1.756,0.05800003,0,0.638,2,0.31,0,0,0,0,0,0,1.538,2,0.154,0.959,2,0.764,0,1.314,1.814,0.03799999,0,0,0,0,0,0,1.707,2,0.154,0.157,1.99,1.854,0.195,1.59,1.692,0,0,0,0,0,0,0,1.317,2,0.181,0,1.252,2,1.503,1.842,1.736,0.01800001,0,0,0,0,0,0,1.128,2,0.841,0,0.205,1.847,1.591,1.487,2,0.365,0,0,0,0,0,0,1.504,2,1.811,0.231,0.08700001,1.964,1.149,1.062,2,1.265,0,0,0,0,0.014,1.153,1.929,1.249,2,1.517,0.414,2,0.438,0.176,1.955,1.943,0.676,0.01899999,0.00999999,0.42,1.573,1.943,0.749,0.074,1.722,2,1.994,1.873,0.173,0,0.714,1.972,2,1.824,1.801,2,1.673,0.429,0,0,0.243,0.912,1.282,0.453,0,0,0,0.465,1.332,1.733,1.471,0.862,0.02200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.558,1.424,1.501,0.208,0,0,0,0,0,0,0,0,0,0,0.03399998,1.131,2,2,2,0.845,0,0,0,0,0,0,0,0,0,0,1.189,2,2,1.627,0.664,0.004999995,0,0,0,0,0,0,0.476,0.697,0.0009999871,0.168,1.875,2,1.57,0.04000002,0,0,0,0,0,0,0,0.381,1.946,1.999,1.001,0.712,2,1.906,0.352,0,0,0,0,0,0,0,0.465,1.716,2,2,1.919,1.645,2,1.498,0,0,0,0,0,0,0,0,0.329,1.672,1.603,2,2,2,2,1.091,0,0,0,0,0,0.09500003,1.11,1.65,0.404,0.146,1.406,2,1.485,2,2,1.279,0,0,0,0,0.08399999,1.484,2,2,2,2,2,2,0.816,1.296,2,1.846,0.08700001,0,0.08899999,0.19,1.505,2,2,2,2,2,2,1.282,0.04799998,0.643,2,2,1.678,1.507,1.759,2,2,2,1.154,0.896,1.888,2,1.227,0.05400002,0,0.129,1.562,1.997,2,2,2,2,2,0.966,0.01700002,0,0.518,0.663,0.037,0,0,0,0,0.679,1.524,1.584,1.639,1.364,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05699998,0.923,1.137,0.55,0,0,0,0,0,0,0,0,0,0,0,0.03500003,1.273,2,2,0.931,0,0,0,0,0,0,0,0,0,0,0.13,1.26,2,2,1.44,0.143,0,0,0,0,0,0.116,1.33,0.591,0,0.007000029,1.154,2,2,1.167,0.01200002,0,0,0,0,0,0,1.296,2,1.945,0.492,0.574,2,2,0.938,0,0,0,0,0,0,0,0,0.811,2,2,1.372,1.289,2,1.574,0.09299999,0,0,0,0,0,0.317,0.232,0,0.214,1.917,1.987,1.86,2,2,1.02,0,0,0,0,0,0.248,1.868,1.333,0,0,0.079,1.398,2,2,2,1.02,0,0,0,0,0,1.38,2,1.444,0.25,0.01300001,0.694,2,1.438,1.43,2,1.595,0.05800003,0,0,0.169,1.118,1.981,2,2,1.948,1.969,2,2,0.421,0.252,1.701,2,1.205,0.776,1.557,1.824,2,1.747,1.196,1.838,1.945,1.783,1.617,0.738,0.005999982,0,0.529,2,2,2,2,1.992,1.569,0.328,0,0.05500001,0.003000021,0,0,0,0,0,0.01800001,0.679,1.154,0.988,0.601,0.03799999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,1.917,1.564,0,0,0,0,0,0,0,0,0.386,0.769,0.02899998,0,0,1.537,1.975,0.754,0,0,0,0,0,0,0.06699997,0.03399998,1.588,2,0.644,0,0.212,1.933,0.842,0,0,0,0,0,0,0.149,1.761,1.122,1.593,2,1.288,0,0.802,2,0.339,0,0,0,0,0,0,0.769,2,1.322,1.145,2,1.764,0,1.457,1.867,0.106,0,0,0,0,0,0,0.475,2,1.359,0.583,1.997,1.926,0.431,1.968,1.968,0.296,0,0,0,0,0,0,0.478,2,1.904,0.134,1.649,2,1.199,1.976,2,0.355,0,0,0,0,0,0.003000021,1.395,2,2,0.423,0.628,2,2,1.457,2,1.034,0,0,0,0,0,0.716,2,2,2,0.949,0.04400003,1.816,2,1.049,2,1.87,0.235,0,0,0,0.4,1.924,1.826,1.748,2,1.203,0,1.797,1.904,0.424,1.952,2,1.578,0.209,0,0.55,1.944,1.792,0.198,1.027,2,1.857,0.565,1.946,1.457,0,1.187,2,2,1.876,1.56,1.947,1.933,0.447,0,0.363,1.89,2,1.91,2,0.969,0,0.08099997,1.289,1.961,2,2,1.827,0.457,0,0,0,0.511,1.963,2,1.496,0.06699997,0,0,0,0.22,0.834,0.844,0.005999982,0,0,0,0,0,0.378,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
